Year,Hour,Fuel,Value
2026,140,Diesel,-0.0
2026,140,FireWood,-0.0
2026,141,Power,-0.0
2026,141,Heat,-0.0
2026,141,Mobility,-0.0
2026,141,Cooking,-0.0
2026,141,Diesel,-0.0
2026,141,FireWood,-0.0
2026,142,Power,-0.0
2026,142,Heat,-0.0
2026,142,Mobility,-0.0
2026,142,Cooking,-0.0
2026,142,Diesel,-0.0
2026,142,FireWood,-0.0
2026,143,Power,-0.0
2026,143,Heat,-0.0
2026,143,Mobility,-0.0
2026,143,Cooking,-0.0
2026,143,Diesel,-0.0
2026,143,FireWood,-0.0
2026,144,Power,-0.0
2026,144,Heat,-5.329070518200751e-15
2026,144,Mobility,-1.3877787807814457e-17
2026,144,Cooking,-0.0
2026,144,Diesel,-0.0
2026,144,FireWood,-0.0
2026,145,Power,-0.0
2026,145,Heat,-0.0
2026,145,Mobility,-0.0
2026,145,Cooking,-0.0
2026,145,Diesel,-0.0
2026,145,FireWood,-0.0
2026,146,Power,-0.0
2026,146,Heat,-0.0
2026,146,Mobility,-0.0
2026,146,Cooking,-0.0
2026,146,Diesel,-0.0
2026,146,FireWood,-0.0
2026,147,Power,-0.0
2026,147,Heat,-0.0
2026,147,Mobility,-0.0
2026,147,Cooking,-0.0
2026,147,Diesel,-0.0
2026,147,FireWood,-0.0
2026,148,Power,-0.0
2026,148,Heat,-0.0
2026,148,Mobility,-0.0
2026,148,Cooking,-0.0
2026,148,Diesel,-0.0
2026,148,FireWood,-0.0
2026,149,Power,-0.0
2026,149,Heat,-0.0
2026,149,Mobility,-0.0
2026,149,Cooking,-0.0
2026,149,Diesel,-0.0
2026,149,FireWood,-0.0
2026,150,Power,-0.0
2026,150,Heat,-7.105427357601002e-15
2026,150,Mobility,-0.0
2026,150,Cooking,-0.0
2026,150,Diesel,-0.0
2026,150,FireWood,-0.0
2026,151,Power,-0.0
2026,151,Heat,-0.0
2026,151,Mobility,-0.0
2026,151,Cooking,-0.0
2026,151,Diesel,-0.0
2026,151,FireWood,-0.0
2026,152,Power,-0.0
2026,152,Heat,-0.0
2026,152,Mobility,-0.0
2026,152,Cooking,-0.0
2026,152,Diesel,-0.0
2026,152,FireWood,-0.0
2026,153,Power,-0.0
2026,153,Heat,-0.0
2026,153,Mobility,-0.0
2026,153,Cooking,-0.0
2026,153,Diesel,-0.0
2026,153,FireWood,-0.0
2026,154,Power,-0.0
2026,154,Heat,-0.0
2026,154,Mobility,-0.0
2026,154,Cooking,-0.0
2026,154,Diesel,-0.0
2026,154,FireWood,-0.0
2026,155,Power,-0.0
2026,155,Heat,-0.0
2026,155,Mobility,-0.0
2026,155,Cooking,-0.0
2026,155,Diesel,-0.0
2026,155,FireWood,-0.0
2026,156,Power,-0.0
2026,156,Heat,-0.0
2026,156,Mobility,-0.0
